"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","17892","should fail login with empty username","firefox","2026-03-18","passed","2026-03-18","Login Page Tests > Invalid Credentials","login.advanced.spec.ts","",""
"","30153","should fail login with non-existent username","firefox","2026-03-18","broken","2026-03-18","Login Page Tests > Invalid Credentials","login.advanced.spec.ts","",""
"","8613","Login test for WrongUser - failure","webkit","2026-03-18","passed","2026-03-18","","login.spec.ts","",""
"","30825","Add Employee with Login Details","webkit","2026-03-18","broken","2026-03-18","","AddEmployee.spec.ts","",""
"","38240","Recruitment","webkit","2026-03-18","failed","2026-03-18","","Recruitmentpages.spec.ts","",""
"","30151","should fail login with incorrect password","firefox","2026-03-18","broken","2026-03-18","Login Page Tests > Invalid Credentials","login.advanced.spec.ts","",""
"","25932","Verify Dashboard & Click on Assign Leave","firefox","2026-03-18","passed","2026-03-18","Dashboard Test","Dashboard.spec.ts","",""
"","10431","should fail login with non-existent username","webkit","2026-03-18","passed","2026-03-18","Login Page Tests > Invalid Credentials","login.advanced.spec.ts","",""
"","14665","should have correct input types","firefox","2026-03-18","failed","2026-03-18","Login Page Tests > UI Elements Visibility","login.advanced.spec.ts","",""
"","15890","Valid Login","firefox","2026-03-18","passed","2026-03-18","Login Feature","HooksLoginDashbord.spec.ts","",""
"","16095","should fail login with incorrect password","chromium","2026-03-18","failed","2026-03-18","Login Page Tests > Invalid Credentials","login.advanced.spec.ts","",""
"","33442","Add Employee with Login Details","firefox","2026-03-18","broken","2026-03-18","","AddEmployee.spec.ts","",""
"","31640","should display dashboard after successful login","firefox","2026-03-18","failed","2026-03-18","Login Page Tests > Valid Credentials","login.advanced.spec.ts","",""
"","26686","Add Employee with Login Details","chromium","2026-03-18","failed","2026-03-18","","AddEmployee.spec.ts","",""
"","384714","Recruitment","firefox","2026-03-18","failed","2026-03-18","","Recruitmentpages.spec.ts","",""
"","17866","should have working login button","firefox","2026-03-18","passed","2026-03-18","Login Page Tests > Form Behavior","login.advanced.spec.ts","",""
"","2236","Create Auction","chromium","2026-06-29","passed","2026-06-29","Auction Creation Tests","Auctioncreatepage.spec.ts","",""
"","37828","Apply Leave","firefox","2026-03-18","broken","2026-03-18","","Leave.spec.ts","",""
"","10780","Invalid login shows error","webkit","2026-03-18","passed","2026-03-18","Login Negative Test","Dashboard.spec.ts","",""
"","20598","Login test for WrongUser - failure","firefox","2026-03-18","passed","2026-03-18","","login.spec.ts","",""
"","10918","Login test for Admin - failure","webkit","2026-03-18","passed","2026-03-18","","login.spec.ts","",""
"","8799","Login test for Admin - success","webkit","2026-03-18","passed","2026-03-18","","login.spec.ts","",""
"","19132","Verify Dashboard & Click on Assign Leave","chromium","2026-03-18","passed","2026-03-18","Dashboard Test","Dashboard.spec.ts","",""
"","6745","should fail login with empty password","webkit","2026-03-18","passed","2026-03-18","Login Page Tests > Invalid Credentials","login.advanced.spec.ts","",""
"","10108","Valid Login","chromium","2026-03-18","passed","2026-03-18","Login Feature","HooksLoginDashbord.spec.ts","",""
"","10143","should login successfully with valid credentials","webkit","2026-03-18","passed","2026-03-18","Login Page Tests > Valid Credentials","login.advanced.spec.ts","",""
"","2544","get started link","webkit","2026-03-18","passed","2026-03-18","","example.spec.ts","",""
"","9640","should display dashboard after successful login","webkit","2026-03-18","failed","2026-03-18","Login Page Tests > Valid Credentials","login.advanced.spec.ts","",""
"","6693","should clear and fill credentials correctly","chromium","2026-03-18","passed","2026-03-18","Login Page Tests > Form Behavior","login.advanced.spec.ts","",""
"","6978","should fail login with empty username","webkit","2026-03-18","passed","2026-03-18","Login Page Tests > Invalid Credentials","login.advanced.spec.ts","",""
"","3815","API test","chromium","2026-03-18","failed","2026-03-18","","ApiTest.spec.ts","",""
"","14597","Invalid login shows error","chromium","2026-03-18","passed","2026-03-18","Login Negative Test","Dashboard.spec.ts","",""
"Verifies that a new client can be added with all required details and a terms & conditions PDF.","8410","Add Client","chromium","2026-06-17","passed","2026-06-17","Client Master Tests","AuctionLoginpage.spec.ts","",""
"","9995","Invalid Login","chromium","2026-03-18","passed","2026-03-18","Login Feature","HooksLoginDashbord.spec.ts","",""
"Verifies that the user can navigate to the Client Master page.","44768","Client Master Navigation","firefox","2026-06-17","failed","2026-06-17","Client Master Tests","AuctionLoginpage.spec.ts","",""
"","8719","Login test for Admin - success","chromium","2026-03-18","passed","2026-03-18","","login.spec.ts","",""
"","739","API test","webkit","2026-03-18","failed","2026-03-18","","ApiTest.spec.ts","",""
"","7166","has title","chromium","2026-03-18","passed","2026-03-18","","example.spec.ts","",""
"","8694","Login test for Admin - failure","chromium","2026-03-18","passed","2026-03-18","","login.spec.ts","",""
"Verifies that the user can navigate to the Bidder Master page.","3966","Navigate to Bidder Master","chromium","2026-06-17","passed","2026-06-17","Client Master Tests","AuctionLoginpage.spec.ts","",""
"","14121","should fail login with incorrect password","webkit","2026-03-18","failed","2026-03-18","Login Page Tests > Invalid Credentials","login.advanced.spec.ts","",""
"","1271","Auction Creation Navigation","chromium","2026-06-29","passed","2026-06-29","Auction Creation Tests","Auctioncreatepage.spec.ts","",""
